Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;lat;lon
3226;20060801;20240126;107;517.259;115.109;Aschersleben-Mehringen;Sachsen-Anhalt;51.7259;11.5109
3231;19790101;20240126;450;505.611;103.771;Meiningen;Thüringen;50.5611;10.3771
3234;20050201;20240126;158;511.294;134.328;Klipphausen-Garsebach;Sachsen;51.1294;13.4328
3244;19750601;20240126;614;479.821;101.384;Memmingen;Bayern;47.9821;10.1384
3245;20020102;20021120;630;479.833;102.333;Memmingen;Bayern;47.9833;10.2333
3246;20020101;20070613;181;503.667;73.167;Mendig;Rheinland-Pfalz;50.3667;7.3167
3254;20020102;20240126;19;527.155;73.176;Meppen;Niedersachsen;52.7155;7.3176
3257;20040601;20221001;251;494.773;97.622;Mergentheim,;Baden-Württemberg;49.4773;9.7622
3268;20021101;20240126;900;481.694;89.433;Meßstetten-Appental;Baden-Württemberg;48.1694;8.9433
3271;20041101;20240126;314;488.548;129.189;Metten;Bayern;48.8548;12.9189
3274;19921001;19941001;415;495.070;65.215;Mettlach-Orscholz;Saarland;49.507;6.5215
3278;20090401;20240126;354;485.377;92.734;Metzingen;Baden-Württemberg;48.5377;9.2734
3284;20050501;20240126;240;496.692;90.085;Michelstadt;Hessen;49.6692;9.0085
3287;19871001;20240126;453;497.177;90.997;Michelstadt-Vielbrunn;Hessen;49.7177;9.0997
3289;20041101;20240126;356;507.281;117.838;Schmieritz-Weltwitz;Thüringen;50.7281;11.7838
3307;20080401;20230102;984;474.779;112.653;Mittenwald-Buckelwiesen;Bayern;47.4779;11.2653
3319;20060901;20240126;239;497.644;92.530;Röllbach;Bayern;49.7644;9.253
3321;20230501;20240126;76;511.313;63.608;Mönchengladbach-Hilderath;Nordrhein-Westfalen;51.1313;6.3608
3340;20050501;20220329;265;504.383;78.061;Montabaur;Rheinland-Pfalz;50.4383;7.8061
3348;20040601;20240126;241;517.209;98.351;Moringen-Lutterbeck;Niedersachsen;51.7209;9.8351
3362;20020101;20240126;243;489.721;88.735;Mühlacker;Baden-Württemberg;48.9721;8.8735
3366;19550101;20240126;406;482.790;125.024;Mühldorf;Bayern;48.279;12.5024
3376;19910101;20240126;63;525.176;141.232;Müncheberg;Brandenburg;52.5176;14.1232
3379;19970701;20240126;515;481.632;115.429;München-Stadt;Bayern;48.1632;11.5429
3382;19480101;19540101;521;481.441;116.000;München-Bogenhausen;Bayern;48.1441;11.6
3385;19820101;19990331;515;481.660;115.011;München-Nymphenburg;Bayern;48.166;11.5011
3390;19490101;19920517;529;481.369;117.094;München-Riem;Bayern;48.1369;11.7094
3402;20021101;20240126;755;483.851;94.837;Münsingen-Apfelstetten;Baden-Württemberg;48.3851;9.4837
